t1,t2,style,k,r0,source
c_,n=_,quadratic,336.80000000000001,1.4750000000000001,cvff_auto
c_,n=_1,quadratic,336.80000000000001,1.4750000000000001,cvff_auto
c_,n=_2,quadratic,336.80000000000001,1.4750000000000001,cvff_auto
c_,n=_3,quadratic,336.80000000000001,1.4750000000000001,cvff_auto
c_,n_,quadratic,377.5752,1.46,cvff_auto
c_,na_,quadratic,356.59879999999998,1.47,cvff_auto
c_,np_,quadratic,336.80000000000001,1.4750000000000001,cvff_auto
c_,o'_,quadratic,318.94839999999999,1.3799999999999999,cvff_auto
c_,o_,quadratic,273.19999999999999,1.425,cvff_auto
c_,op_,quadratic,346.54840000000002,1.3799999999999999,cvff_auto
c_,p_,quadratic,249.1344,1.75,cvff_auto
c_,s'_,quadratic,257.33240000000001,1.77,cvff_auto
c_,s_,quadratic,228,1.8,cvff_auto
c_,si_,quadratic,238,1.8089999999999999,cvff_auto
c_,sp_,quadratic,242.5324,1.77,cvff_auto
ce1,ce1,quadratic,322.7158,1.526,cvff
ce1,he1,quadratic,340.61750000000001,1.0900000000000001,cvff
ce1,oa1,quadratic,384,1.3999999999999999,cvff
ce1,oe1,quadratic,273.19999999999999,1.3999999999999999,cvff
cg1,cg1,quadratic,280,1.3999999999999999,cvff
cg1,cge,quadratic,400,0.59999999999999998,cvff
ci,ci,quadratic,280,1.3899999999999999,cvff
ci,h,quadratic,363.41640000000001,1.0800000000000001,cvff
ci,ni,quadratic,320,1.3799999999999999,cvff
ci_,ci_,quadratic,280,1.3899999999999999,cvff_auto
ci_,h_,quadratic,363.41640000000001,1.0800000000000001,cvff_auto
ci_,ni_,quadratic,320,1.3799999999999999,cvff_auto
cl,cl,quadratic,236.55000000000001,1.988,cvff
cl,cp,quadratic,314,1.7609999999999999,cvff
cl,lp,quadratic,314,1.7609999999999999,cvff
cl_,cl_,quadratic,236.53389999999999,1.988,cvff_auto
cl_,cp_,quadratic,314,1.7609999999999999,cvff_auto
cl_,ct_,quadratic,292.1952,1.677,cvff_auto
cl_,f_,quadratic,207.11799999999999,1.647,cvff_auto
cl_,h_,quadratic,345.9024,1.3600000000000001,cvff_auto
cl_,i_,quadratic,189.33959999999999,2.3180000000000001,cvff_auto
cl_,n+_,quadratic,217.72479999999999,1.6890000000000001,cvff_auto
cl_,n3m_,quadratic,226.42599999999999,1.6890000000000001,cvff_auto
cl_,n4m_,quadratic,226.42599999999999,1.6890000000000001,cvff_auto
cl_,n=_,quadratic,280.36040000000003,1.6619999999999999,cvff_auto
cl_,n=_1,quadratic,280.36040000000003,1.6619999999999999,cvff_auto
cl_,n=_2,quadratic,280.36040000000003,1.6619999999999999,cvff_auto
cl_,n=_3,quadratic,280.36040000000003,1.6619999999999999,cvff_auto
cl_,n_,quadratic,227.56039999999999,1.6619999999999999,cvff_auto
cl_,na_,quadratic,226.42599999999999,1.6890000000000001,cvff_auto
cl_,np_,quadratic,280.36040000000003,1.6619999999999999,cvff_auto
cl_,o'_,quadratic,251.79390000000001,1.607,cvff_auto
cl_,o_,quadratic,307.06319999999999,1.6499999999999999,cvff_auto
cl_,op_,quadratic,279.39389999999997,1.607,cvff_auto
cl_,p_,quadratic,208.8228,2.0430000000000001,cvff_auto
cl_,s'_,quadratic,211.13679999999999,1.9970000000000001,cvff_auto
cl_,s3e_,quadratic,212.0812,2.0270000000000001,cvff_auto
cl_,s4e_,quadratic,212.0812,2.0270000000000001,cvff_auto
cl_,s_,quadratic,212.0812,2.0270000000000001,cvff_auto
cl_,si_,quadratic,207.97479999999999,2.0870000000000002,cvff_auto
cl_,sp_,quadratic,196.33680000000001,1.9970000000000001,cvff_auto
cp,cp,quadratic,480,1.3400000000000001,cvff
cp,f,quadratic,496,1.363,cvff
cp,h,quadratic,363.41640000000001,1.0800000000000001,cvff
cp,n,quadratic,280,1.4199999999999999,cvff
cp,n2,quadratic,388,1.3200000000000001,cvff
cp,no,quadratic,351.2527,1.472,cvff
cp,np,quadratic,560,1.26,cvff
cp,oh,quadratic,384,1.3700000000000001,cvff
cp_,cp_,quadratic,480,1.3899999999999999,cvff_auto
cp_,ct_,quadratic,321.67160000000001,1.3999999999999999,cvff_auto
cp_,f_,quadratic,496,1.363,cvff_auto
cp_,h_,quadratic,363.41640000000001,1.0800000000000001,cvff_auto
cp_,i_,quadratic,217.4512,2.0409999999999999,cvff_auto
cp_,n+_,quadratic,251.33439999999999,1.4119999999999999,cvff_auto
