t1,t2,delta_ij,delta_ji
f,si,-0.47889999999999999,0.47889999999999999
cl,cl,0,0
cl,br,-0.050700000000000002,0.050700000000000002
cl,i,-0.062300000000000001,0.062300000000000001
cl,si,-0.35980000000000001,0.35980000000000001
br,br,0,0
br,i,-0.010999999999999999,0.010999999999999999
br,si,-0.32719999999999999,0.32719999999999999
i,i,0,0
i,si,-0.32629999999999998,0.32629999999999998
si,si,0,0
oy1,sy1,-1,1
oy1,ay1,-1,1
oy1,hoy,-1,1
oy1,hok,-1,1
oc23,sy1,-1,1
sc1,oc1,-1,1
ac1,oc3,-1,1
ac1,oc4,-1,1
oc4,hoc,-1,1
oc5,hoc,-1,1
