t1,t2,delta_ij,delta_ji
n=1,n=1,0,0
n=1,n=2,0,0
n=1,na,-0.074200000000000002,0.074200000000000002
n=1,nh,-0.16370000000000001,0.16370000000000001
n=1,nn,0,0
n=1,np,0,0
n=1,o,-0.042700000000000002,0.042700000000000002
n=1,o_1,0.16839999999999999,-0.16839999999999999
n=1,op,0.16839999999999999,-0.16839999999999999
n=1,p,-0.33589999999999998,0.33589999999999998
n=1,s,-0.17530000000000001,0.17530000000000001
n=1,s',-0.1346,0.1346
n=1,si,-0.43680000000000002,0.43680000000000002
n=1,sp,-0.1346,0.1346
n=2,n=2,0,0
n=2,na,-0.074200000000000002,0.074200000000000002
n=2,nh,-0.16370000000000001,0.16370000000000001
n=2,nn,0,0
n=2,np,0,0
n=2,o,-0.042700000000000002,0.042700000000000002
n=2,o=,0.16839999999999999,-0.16839999999999999
n=2,o_1,0.16839999999999999,-0.16839999999999999
n=2,op,0.16839999999999999,-0.16839999999999999
n=2,p,-0.33589999999999998,0.33589999999999998
n=2,s,-0.17530000000000001,0.17530000000000001
n=2,s',-0.1346,0.1346
n=2,si,-0.43680000000000002,0.43680000000000002
n=2,sp,-0.1346,0.1346
na,na,0,0
na,nh,-0.091899999999999996,0.091899999999999996
na,nn,0.037100000000000001,-0.037100000000000001
na,np,0.074200000000000002,-0.074200000000000002
na,o,0.025399999999999999,-0.025399999999999999
na,o_1,0.2369,-0.2369
na,op,0.2369,-0.2369
na,p,-0.25180000000000002,0.25180000000000002
na,s,-0.096600000000000005,0.096600000000000005
na,s',-0.055100000000000003,0.055100000000000003
na,si,-0.35010000000000002,0.35010000000000002
na,sp,-0.055100000000000003,0.055100000000000003
nh,nh,0,0
nh,nn,0.16370000000000001,-0.16370000000000001
nh,np,-0.2823,0.2823
nh,o,-0.109,-0.109
nh,o_1,0.31480000000000002,-0.31480000000000002
nh,op,0.31480000000000002,-0.31480000000000002
nh,p,-0.13750000000000001,0.13750000000000001
nh,s,0.0045999999999999999,-0.0045999999999999999
nh,s',0.045400000000000003,-0.045400000000000003
nh,si,-0.2278,0.2278
nh,sp,0.045400000000000003,-0.045400000000000003
nn,nn,0,0
nn,np,0,0
nn,o,-0.042700000000000002,0.042700000000000002
nn,o_1,0.16839999999999999,-0.16839999999999999
nn,op,0.16839999999999999,-0.16839999999999999
nn,p,-0.33589999999999998,0.33589999999999998
nn,s,-0.17530000000000001,0.17530000000000001
nn,s',-0.1346,0.1346
nn,si,-0.43680000000000002,0.43680000000000002
nn,sp,-0.1346,0.1346
np,np,0,0
np,o,-0.042700000000000002,0.042700000000000002
np,o_1,0.16839999999999999,-0.16839999999999999
np,op,0.16839999999999999,-0.16839999999999999
np,p,-0.33589999999999998,0.33589999999999998
np,s,-0.17530000000000001,0.17530000000000001
np,s',-0.1346,0.1346
np,si,-0.43680000000000002,0.43680000000000002
np,sp,-0.1346,0.1346
nt,nt,0,0
nz,nz,0,0
o,o,0,0
o,op,0.19620000000000001,-0.19620000000000001
o,p,-0.25480000000000003,0.25480000000000003
o,p=,-0.14000000000000001,0.14000000000000001
o,s,-0.1143,0.1143
o,s',-0.076600000000000001,0.076600000000000001
o,si,-0.34250000000000003,0.34250000000000003
o,sp,-0.076600000000000001,0.076600000000000001
o-,p,-0.84999999999999998,0.34999999999999998
o-,s',-0.1143,0.1143
o=,o=,0,0
o=,s',-0.1143,0.1143
o_1,o_1,0,0
o_1,op,0,0
o_1,p,-0.49330000000000002,0.49330000000000002
o_1,s,-0.33860000000000001,0.33860000000000001
o_1,s',-0.3024,0.3024
o_1,si,-0.58830000000000005,0.58830000000000005
o_1,sp,-0.3024,0.3024
oas,sz,-0.1265,0.1265
ob,sz,-0.13919999999999999,0.13919999999999999
op,op,0,0
op,p,-0.49330000000000002,0.49330000000000002
op,s,-0.33860000000000001,0.33860000000000001
op,s',-0.3024,0.3024
op,si,-0.58830000000000005,0.58830000000000005
op,sp,-0.3024,0.3024
osh,sz,-0.1303,0.1303
osi,sio,-0.22,0.22
oss,sz,-0.13089999999999999,0.13089999999999999
p,p,0,0
p,s,0.16,-0.16
p,s',0.21060000000000001,-0.21060000000000001
p,s-,0.18240000000000001,-0.68240000000000001
p,si,-0.1069,0.1069
p,sp,0.21060000000000001,-0.21060000000000001
s,s,0,0
s,s',0.045499999999999999,-0.045499999999999999
s,si,-0.26340000000000002,0.26340000000000002
s,sp,0.045499999999999999,-0.045499999999999999
s',s',0,0
s',si,-0.31719999999999998,0.31719999999999998
s',sp,0,0
si,si,0,0
si,si,0,0
si,sp,0.31719999999999998,-0.31719999999999998
sp,sp,0,0
